experiment,phase,step,training_loss
Domain 4k,single,500,0.9193574523925782
Generic→Domain 0.5k+0.5k,phase1_generic,25,1.180533905029297
Generic→Domain 0.5k+0.5k,phase1_generic,50,0.9805667114257812
Generic→Domain 0.5k+0.5k,phase2_domain,25,0.9923391723632813
Generic→Domain 0.5k+0.5k,phase2_domain,50,0.9290126037597656
Generic→Domain 1k+1k,phase1_generic,25,1.237105255126953
Generic→Domain 1k+1k,phase1_generic,50,0.9288063812255859
Generic→Domain 1k+1k,phase1_generic,75,0.9457929229736328
Generic→Domain 1k+1k,phase1_generic,100,0.9477500152587891
Generic→Domain 1k+1k,phase1_generic,125,0.9481781768798828
Generic→Domain 1k+1k,phase2_domain,25,0.958528060913086
Generic→Domain 1k+1k,phase2_domain,50,0.9536569213867188
Generic→Domain 1k+1k,phase2_domain,75,0.9618299865722656
Generic→Domain 1k+1k,phase2_domain,100,0.9707167816162109
Generic→Domain 1k+1k,phase2_domain,125,0.9223247528076172
Generic→Domain 2k+2k,phase1_generic,25,1.328330078125
Generic→Domain 2k+2k,phase1_generic,50,0.9391526031494141
Generic→Domain 2k+2k,phase1_generic,75,0.9317387390136719
Generic→Domain 2k+2k,phase1_generic,100,0.9546670532226562
Generic→Domain 2k+2k,phase1_generic,125,0.9377457427978516
Generic→Domain 2k+2k,phase1_generic,150,0.9251429748535156
Generic→Domain 2k+2k,phase1_generic,175,0.9015465545654296
Generic→Domain 2k+2k,phase1_generic,200,0.9435892486572266
Generic→Domain 2k+2k,phase1_generic,225,0.9038246917724609
Generic→Domain 2k+2k,phase1_generic,250,0.924150619506836
Generic→Domain 2k+2k,phase2_domain,25,0.9449603271484375
Generic→Domain 2k+2k,phase2_domain,50,0.9357073974609375
Generic→Domain 2k+2k,phase2_domain,75,0.9391098022460938
Generic→Domain 2k+2k,phase2_domain,100,0.9604110717773438
Generic→Domain 2k+2k,phase2_domain,125,0.955626220703125
Generic→Domain 2k+2k,phase2_domain,150,0.9158413696289063
Generic→Domain 2k+2k,phase2_domain,175,0.9611062622070312
Generic→Domain 2k+2k,phase2_domain,200,0.9333505249023437
Generic→Domain 2k+2k,phase2_domain,225,0.948881607055664
Generic→Domain 2k+2k,phase2_domain,250,0.9248196411132813
Mixed 0.5k+0.5k,single,25,1.2791968536376954
Mixed 0.5k+0.5k,single,50,0.9946234893798828
Mixed 0.5k+0.5k,single,75,0.9459565734863281
Mixed 0.5k+0.5k,single,100,0.935157241821289
Mixed 0.5k+0.5k,single,125,0.9299288940429687
Mixed 1k+1k,single,25,1.303400115966797
Mixed 1k+1k,single,50,0.9983634185791016
Mixed 1k+1k,single,75,0.9485582733154296
Mixed 1k+1k,single,100,0.9260295104980468
Mixed 1k+1k,single,125,0.9562367248535156
Mixed 1k+1k,single,150,0.9479241180419922
Mixed 1k+1k,single,175,0.9264076995849609
Mixed 1k+1k,single,200,0.9356378173828125
Mixed 1k+1k,single,225,0.9712664031982422
Mixed 1k+1k,single,250,0.958345947265625
Mixed 2k+2k,single,25,1.4197311401367188
Mixed 2k+2k,single,50,0.9696648406982422
Mixed 2k+2k,single,75,0.9460536193847656
Mixed 2k+2k,single,100,0.9789424133300781
Mixed 2k+2k,single,125,0.9765829467773437
Mixed 2k+2k,single,150,0.9412212371826172
Mixed 2k+2k,single,175,0.9876431274414063
Mixed 2k+2k,single,200,0.9253033447265625
Mixed 2k+2k,single,225,0.929615249633789
Mixed 2k+2k,single,250,0.9363299560546875
Mixed 2k+2k,single,275,0.9052021789550782
Mixed 2k+2k,single,300,0.9422328186035156
Mixed 2k+2k,single,325,0.9444295501708985
Mixed 2k+2k,single,350,0.9305927276611328
Mixed 2k+2k,single,375,0.9045826721191407
Mixed 2k+2k,single,400,0.9393128204345703
Mixed 2k+2k,single,425,0.9109798431396484
Mixed 2k+2k,single,450,0.9049761199951172
Mixed 2k+2k,single,475,0.9149418640136718
Mixed 2k+2k,single,500,0.9412779235839843
