experiment,phase,step,training_loss
Generic 0.5k,single,25,1.1826199340820311
Generic 0.5k,single,50,0.9807215118408203
Generic 1k,single,25,1.2371516418457031
Generic 1k,single,50,0.9284857177734375
Generic 1k,single,75,0.9462674713134765
Generic 1k,single,100,0.9478927612304687
Generic 1k,single,125,0.9483819580078126
Generic 2k,single,25,1.3271420288085938
Generic 2k,single,50,0.9385164642333984
Generic 2k,single,75,0.9313665008544922
Generic 2k,single,100,0.9545588684082031
Generic 2k,single,125,0.9376092529296876
Generic 2k,single,150,0.9251007080078125
Generic 2k,single,175,0.9018300628662109
Generic 2k,single,200,0.9436480712890625
Generic 2k,single,225,0.903736343383789
Generic 2k,single,250,0.9242140197753906
Generic 4k,single,25,1.3926483154296876
Generic 4k,single,50,0.9225719451904297
Generic 4k,single,75,0.90057373046875
Generic 4k,single,100,0.9281569671630859
Generic 4k,single,125,0.8963624572753907
Generic 4k,single,150,0.9260645294189453
Generic 4k,single,175,0.9131816101074218
Generic 4k,single,200,0.986935043334961
Generic 4k,single,225,0.9464307403564454
Generic 4k,single,250,0.8825880432128906
Generic 4k,single,275,0.932771987915039
Generic 4k,single,300,0.9114857482910156
Generic 4k,single,325,0.9040251159667969
Generic 4k,single,350,0.9046508026123047
Generic 4k,single,375,0.9084195709228515
Generic 4k,single,400,0.9335906982421875
Generic 4k,single,425,0.9420922088623047
Generic 4k,single,450,0.9461817169189453
Generic 4k,single,475,0.8929473876953125
Generic 4k,single,500,0.9180417633056641
Domain 0.5k,single,25,1.2398152923583985
Domain 0.5k,single,50,0.9380494689941407
Domain 1k,single,25,1.2558799743652345
Domain 1k,single,50,0.96660400390625
Domain 1k,single,75,0.9700345611572265
Domain 1k,single,100,0.9773446655273438
Domain 1k,single,125,0.9284858703613281
Domain 2k,single,25,1.3201181030273437
Domain 2k,single,50,0.9555648040771484
Domain 2k,single,75,0.9494624328613281
Domain 2k,single,100,0.9661934661865235
Domain 2k,single,125,0.9619666290283203
Domain 2k,single,150,0.9213282012939453
Domain 2k,single,175,0.9662782287597657
Domain 2k,single,200,0.9401058959960937
Domain 2k,single,225,0.9526848602294922
Domain 2k,single,250,0.9296800994873047
Domain 4k,single,25,1.4541552734375
Domain 4k,single,50,0.9898011779785156
Domain 4k,single,75,0.9430387115478516
Domain 4k,single,100,0.977149658203125
Domain 4k,single,125,0.9781596374511718
Domain 4k,single,150,0.9302144622802735
Domain 4k,single,175,0.9401691436767579
Domain 4k,single,200,0.9356139373779296
Domain 4k,single,225,0.9377684783935547
Domain 4k,single,250,0.9544900512695312
Domain 4k,single,275,0.9551238250732422
Domain 4k,single,300,0.9536393737792969
Domain 4k,single,325,0.9536067962646484
Domain 4k,single,350,0.9391667175292969
Domain 4k,single,375,0.9601517486572265
Domain 4k,single,400,0.9143592834472656
Domain 4k,single,425,0.9148290252685547
Domain 4k,single,450,0.9172172546386719
Domain 4k,single,475,0.9157818603515625
